address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913,"Rua Olímpio Portugal, Mooca, São Paulo, Brazil",-23.5562518,-46.6018039,62
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495,"Avenida Monteiro Lobato, Macedo, São Paulo, Brazil",-23.4661158,-46.5144709,42
Rua Abrahão Calux,Vila Moinho Velho,59,2,1,Apartamento,2200,2861,"Rua Abrahão Calux, Vila Moinho Velho, São Paulo, Brazil",-23.6111114,-46.60380395,106
Avenida Prestes Maia,Centro,37,1,0,Studio e kitnet,1100,1918,"Avenida Prestes Maia, Centro, São Paulo, Brazil",-23.6852406,-46.6170349,140
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674,"Rua Fonseca da Costa, Bosque da Saúde, São Paulo, Brazil",-23.6213139,-46.6255908,137
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166,"Rua Bartholomeu do Canto, Vila Palmeiras, São Paulo, Brazil",-21.386477399999997,-49.3857034,2
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052,"Rua Natividade Saldanha, São Lucas, São Paulo, Brazil",-23.5929294,-46.5565465,48
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492,"Rua Antônio Gomes Ferreira, Parque Fongaro, São Paulo, Brazil",-23.6338064,-46.5942366,37
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017,"Rua Capitao Avelino Carneiro, Penha de França, São Paulo, Brazil",-23.5229087,-46.5485889,113
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293,"Rua Maria José Rangel, Vila São Paulo, São Paulo, Brazil",-23.6559973,-46.6710159,22
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998,"Rua Edmundo Luís de Nóbrega Teixeira, Campo Grande, São Paulo, Brazil",-23.6679693,-46.6827258,67
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097,"Rua Oscar Freire, Cerqueira César, São Paulo, Brazil",-23.563954,-46.6680317,79
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424,"Rua Almirante Brasil, Mooca, São Paulo, Brazil",-23.5516964,-46.606485,99
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532,"Rua Professor José Miziara, Santa Teresinha, São Paulo, Brazil",-23.4897148,-46.6390974,109
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955,"Avenida Diógenes Ribeiro de Lima, Alto da Lapa, São Paulo, Brazil",-23.5331134,-46.7188837,128
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069,"Rua Iguaré, Tatuapé, São Paulo, Brazil",-23.5318536,-46.5827035,53
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668,"Rua Votupoca, Vila Ipojuca, São Paulo, Brazil",-23.5330376,-46.7048201,52
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187,"Avenida Miguel Frias E Vasconcelos, Jaguaré, São Paulo, Brazil",-23.5501634,-46.7440764,104
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712,"Avenida Santa Marina, Água Branca, São Paulo, Brazil",-23.5126631,-46.6926564,52
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853,"Rua Erva Imperial, Vila Alpina, São Paulo, Brazil",-23.5985508,-46.5581687,48
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949,"Rua Ponte Pensa, Parada Inglesa, São Paulo, Brazil",-23.4842923,-46.605188,59
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487,"Rua Speers, Vila Sao Pedro, São Paulo, Brazil",-23.6425399,-46.5285118,148
Rua João Adolfo,Centro,26,1,0,Studio e kitnet,1750,2194,"Rua João Adolfo, Centro, São Paulo, Brazil",-23.5820877,-48.0413011,11
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682,"Rua Bento Freitas, República, São Paulo, Brazil",-23.5457686,-46.6455851,89
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962,"Rua Coronel Deraldo Jordão, Ipiranga, São Paulo, Brazil",-23.5882923,-46.6052415,116
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467,"Rua Bela Cintra, Consolação, São Paulo, Brazil",-23.5551576,-46.660423,138
Avenida Tiradentes,Luz,48,2,1,Apartamento,2860,3406,"Avenida Tiradentes, Luz, São Paulo, Brazil",-23.5294977,-46.6315124,89
Rua do Chico Nunes,Vila Andrade,36,2,0,Apartamento,980,1138,"Rua do Chico Nunes, Vila Andrade, São Paulo, Brazil",-23.6309112,-46.7370687,85
Rua Frei Gaspar,Mooca,33,1,0,Apartamento,3100,3600,"Rua Frei Gaspar, Mooca, São Paulo, Brazil",-23.5482579,-46.6061025,99
Rua Joaquim Oliveira Freitas,Vila Mangalot,51,2,1,Apartamento,920,1572,"Rua Joaquim Oliveira Freitas, Vila Mangalot, São Paulo, Brazil",-23.496994,-46.7460602,43
Avenida Senador José Ermírio de Moraes,Tremembé,62,2,1,Apartamento,2300,2952,"Avenida Senador José Ermírio de Moraes, Tremembé, São Paulo, Brazil",-23.4408035,-46.61615,97
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142,"Avenida Ipiranga, República, São Paulo, Brazil",-23.5417553,-46.6396809,89
Rua Porto de Palos,Jardim Peri,41,2,0,Apartamento,1000,1408,"Rua Porto de Palos, Jardim Peri, São Paulo, Brazil",-23.4581477,-46.6593929,145
Rua Fernando Dondon,Tatuapé,24,1,0,Studio e kitnet,1600,1964,"Rua Fernando Dondon, Tatuapé, São Paulo, Brazil",-23.5464316,-46.5620911,53
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,Apartamento,1500,1728,"Rua Tenente-coronel Soares Neiva, Vila Aricanduva, São Paulo, Brazil",-23.5348971,-46.5424297,70
