iter	Passed	Remaining
1350	67254	7417
1351	67315	7368
1352	67401	7323
1353	67474	7275
1354	67528	7226
1355	67583	7177
1356	67635	7127
1357	67686	7077
1358	67742	7028
1359	67787	6978
1360	67831	6927
1361	67882	6877
1362	67926	6827
1363	67972	6777
1364	68024	6727
1365	68075	6677
1366	68117	6627
1367	68157	6576
1368	68201	6526
1369	68252	6476
1370	68302	6426
1371	68349	6376
1372	68392	6326
1373	68453	6277
1374	68500	6227
1375	68557	6178
1376	68609	6128
1377	68649	6077
1378	68687	6026
1379	68731	5976
1380	68775	5926
1381	68829	5876
1382	68873	5826
1383	68927	5777
1384	68980	5727
1385	69022	5677
1386	69068	5627
1387	69114	5576
1388	69161	5526
1389	69209	5477
1390	69259	5427
1391	69308	5377
1392	69353	5327
1393	69409	5277
1394	69455	5227
1395	69503	5177
1396	69548	5127
1397	69596	5077
1398	69641	5027
1399	69684	4977
1400	69724	4927
1401	69773	4877
1402	69818	4827
1403	69875	4777
1404	69919	4727
1405	69962	4677
1406	70007	4627
1407	70066	4578
1408	70113	4528
1409	70161	4478
1410	70203	4428
1411	70247	4378
1412	70295	4328
1413	70348	4278
1414	70387	4228
1415	70426	4177
1416	70465	4127
1417	70512	4077
1418	70555	4027
1419	70618	3978
1420	70661	3928
1421	70732	3879
1422	70780	3829
1423	70828	3780
1424	70865	3729
1425	70931	3680
1426	70975	3630
1427	71039	3581
1428	71082	3531
1429	71143	3482
1430	71191	3432
1431	71259	3383
1432	71303	3333
1433	71351	3283
1434	71408	3234
1435	71464	3185
1436	71510	3135
1437	71558	3085
1438	71602	3035
1439	71648	2985
1440	71697	2935
1441	71749	2885
1442	71803	2836
1443	71852	2786
1444	71892	2736
1445	71941	2686
1446	71992	2636
1447	72041	2587
1448	72089	2537
1449	72141	2487
1450	72185	2437
1451	72236	2387
1452	72280	2338
1453	72329	2288
1454	72372	2238
1455	72425	2188
1456	72467	2138
1457	72511	2088
1458	72548	2038
1459	72590	1988
1460	72637	1938
1461	72684	1889
1462	72722	1839
1463	72768	1789
1464	72816	1739
1465	72858	1689
1466	72901	1639
1467	72949	1590
1468	72989	1540
1469	73043	1490
1470	73093	1441
1471	73140	1391
1472	73192	1341
1473	73236	1291
1474	73283	1242
1475	73333	1192
1476	73377	1142
1477	73425	1092
1478	73463	1043
1479	73517	993
1480	73561	943
1481	73612	894
1482	73657	844
1483	73719	794
1484	73758	745
1485	73819	695
1486	73860	645
1487	73912	596
1488	73955	546
1489	73990	496
1490	74023	446
1491	74060	397
1492	74114	347
1493	74149	297
1494	74184	248
1495	74214	198
1496	74247	148
1497	74292	99
1498	74334	49
1499	74369	0
